feature,importance
competition_intensity,0.10719317
bedrooms_filled,0.107065335
size_value_score,0.0799645
neighborhood_price_mean,0.068038784
bathrooms,0.04340691
has_gym,0.028963057
accommodates,0.027496485
superhost_high_rating,0.023956755
has_dishwasher,0.023627454
has_tv,0.02220666
listings_in_neighborhood,0.017494436
superhost_num,0.016432662
has_elevator,0.016215222
luxury_central,0.014687502
distance_from_center,0.014511809
booking_rate_proxy,0.014360431
large_premium,0.014095753
reviews_per_month,0.012635041
availability_365,0.012441564
availability_rate,0.011354836
instant_bookable_num,0.01129402
is_professional,0.011123805
longitude,0.010572263
is_multi_bathroom,0.010307533
review_recency,0.010235049
host_responsiveness,0.009521804
essential_score,0.009459781
response_time_score,0.009191787
is_large_4plus,0.00898745
latitude,0.0087480005
is_flexible,0.00873299
has_ac,0.008709189
avg_review_score,0.008596345
estimated_bookings_monthly,0.008498991
bedrooms_per_person,0.008353495
has_wifi,0.007966577
superhost_many_reviews,0.007539532
amenity_count,0.007285298
has_heating,0.00715229
response_rate_num,0.007064794
is_longstay_only,0.0070636375
acceptance_rate_numeric,0.0069727595
has_dryer,0.006856115
is_luxury_bathrooms,0.0068276273
has_parking,0.00680893
has_washer,0.0067485766
budget_essentials,0.0067064026
has_pool,0.006550005
beds_per_bedroom,0.006543121
number_of_reviews,0.006537945
minimum_nights,0.00645737
has_workspace,0.006117285
is_small_1bed,0.0059721903
reviews_per_year,0.0058534583
luxury_score,0.005286358
bathrooms_per_bedroom,0.005055612
is_medium_2_3bed,0.0048492607
has_self_checkin,0.0044940733
neighborhood_encoded,0.0042582513
is_luxury_property,0.00424358
has_kitchen,0.0041210386
has_balcony,0.0040388377
premium_luxury,0.003770329
beds,0.003459782
high_review_volume,0.0031838103
is_large,0.00295817
has_hot_tub,0.002776233
is_studio_flag,0.0
is_studio,0.0
has_reviews,0.0
