feature,importance
is_small_1bed,0.14326249
size_value_score,0.13912086
bedrooms_filled,0.10948803
neighborhood_price_mean,0.06021226
is_luxury_bathrooms,0.055055406
is_multi_bathroom,0.045805965
bathrooms,0.045612663
listings_in_neighborhood,0.04561187
accommodates,0.037628338
has_gym,0.026879009
large_premium,0.023667526
distance_from_center,0.022441452
has_dishwasher,0.021667339
has_tv,0.019385021
booking_rate_proxy,0.01633541
is_large,0.015601036
luxury_central,0.015159266
availability_365,0.014821247
is_studio_flag,0.01446589
superhost_high_rating,0.013665896
review_recency,0.013521098
estimated_bookings_monthly,0.013510689
superhost_num,0.011976332
is_flexible,0.010499645
instant_bookable_num,0.010487883
is_longstay_only,0.010424898
is_professional,0.010401942
is_large_4plus,0.009985674
bedrooms_per_person,0.009948194
is_medium_2_3bed,0.008349703
is_luxury_property,0.0050068623
