feature,importance
bedrooms_filled,0.15702185
is_large,0.11646187
neighborhood_price_mean,0.05925166
bathrooms,0.053592023
accommodates,0.039230995
has_gym,0.037153594
listings_in_neighborhood,0.025640342
large_premium,0.022671636
has_tv,0.022391703
superhost_high_rating,0.022155516
has_dishwasher,0.021209009
superhost_num,0.016231872
estimated_bookings_monthly,0.014015325
luxury_central,0.013871035
is_longstay_only,0.013216865
bedrooms_per_person,0.012913237
has_elevator,0.012713505
is_flexible,0.012473458
booking_rate_proxy,0.012356761
distance_from_center,0.011882412
availability_365,0.011566355
instant_bookable_num,0.011553727
has_dryer,0.010719765
has_pool,0.010586204
response_time_score,0.010500767
has_kitchen,0.0102204885
luxury_score,0.010132436
is_professional,0.010042839
has_ac,0.0094767
review_recency,0.009388308
bathrooms_per_bedroom,0.00927352
host_responsiveness,0.009101757
availability_rate,0.009100876
longitude,0.0088785635
minimum_nights,0.00842059
essential_score,0.008349109
response_rate_num,0.008220507
acceptance_rate_numeric,0.008156155
has_parking,0.008100979
reviews_per_month,0.007924402
avg_review_score,0.007460969
superhost_many_reviews,0.0073645078
amenity_count,0.0070617464
premium_luxury,0.006566951
has_heating,0.006491513
has_washer,0.006481061
competition_intensity,0.006364262
number_of_reviews,0.006032118
has_workspace,0.005787415
beds_per_bedroom,0.005749277
neighborhood_encoded,0.005643684
has_balcony,0.005385847
budget_essentials,0.005370407
reviews_per_year,0.0053370283
has_hot_tub,0.0052246857
has_self_checkin,0.005222083
high_review_volume,0.004897686
beds,0.0047884933
has_reviews,0.0039432845
is_studio,0.0026582107
