feature,importance
bedrooms_filled,35.8163
accommodates,27.99372
neighborhood_price_mean,24.250061
distance_from_center,18.800955
bathrooms,10.6278
availability_365,8.329874
review_recency,7.85994
has_dishwasher,7.6910925
latitude,7.1802216
avg_review_score,6.9772205
has_tv,5.4642963
instant_bookable_num,5.2372746
reviews_per_month,4.5783563
booking_rate_proxy,4.520492
amenity_count,4.3727965
response_time_score,3.8406181
longitude,3.7056673
has_elevator,3.421517
acceptance_rate_numeric,2.6721985
superhost_num,2.3965054
minimum_nights,2.2288358
is_professional,2.2083979
bedrooms_per_person,2.0714347
bathrooms_per_bedroom,2.0318937
competition_intensity,1.8965626
number_of_reviews,1.8038023
luxury_central,1.5283618
availability_rate,1.5252726
listings_in_neighborhood,1.3235348
reviews_per_year,1.3053387
superhost_high_rating,1.3022323
neighborhood_encoded,1.05993
host_responsiveness,1.0500681
has_gym,1.0412208
beds_per_bedroom,1.0261953
essential_score,0.9492974
superhost_many_reviews,0.90444225
has_dryer,0.8739871
estimated_bookings_monthly,0.76412785
response_rate_num,0.762716
large_premium,0.722667
has_ac,0.69994897
is_flexible,0.58952665
has_balcony,0.502049
beds,0.49462682
has_pool,0.48420948
has_parking,0.48144338
has_workspace,0.40766764
has_self_checkin,0.37284383
has_wifi,0.27786794
has_kitchen,0.20945911
budget_essentials,0.19695362
is_large,0.1831562
luxury_score,0.16839054
is_longstay_only,0.1474966
has_hot_tub,0.082118884
has_washer,0.03877118
has_heating,0.03741154
has_reviews,0.037380397
is_studio,0.0063153333
premium_luxury,0.0036783654
high_review_volume,0.0
